id,year,year-cat,canon-cat,gender-cat,length,length-cat,counter
LAV0029JD,1935,T3,unspecified,M,60729,medium,1
LAV0054JD,1908,T4,low,M,45316,medium,1
LAV103063,1912,T4,low,M,238911,long,1
LAV1040959,?,T3,low,M,57886,medium,1
LAV1040964,?,T4,low,M,64436,medium,1
LAV413085,1879,T2,high,M,162316,long,1
LAV413173,1901,T4,high,M,146974,long,1
LAV413464,1891,T3,low,M,35308,short,1
LAV414717,1895,T3,high,M,32576,short,1
LAV416277,1879,T2,low,M,90674,medium,1
LAV419386,1905,T4,low,M,73393,medium,1
LAV420132,1913,T4,high,F,185514,long,1
LAV771019,1902,T4,low,M,59117,medium,1
LAV771025,1904,T4,low,M,56838,medium,1
LAV771027,1909,T4,low,M,66515,medium,1
LAV771035,1903,T4,low,M,73928,medium,1
LAV771063,1899,T3,low,M,301124,long,1
LAV771067,1907,T4,low,M,32342,short,1
LAV771071,1912,T4,low,M,60780,medium,1
LAV771096,?,T3,low,M,194255,long,1
LAV771400,1912,T4,low,M,21877,short,1
LAV869205,?,T4,low,M,60371,medium,1
LAV869208,?,T4,low,M,51138,medium,1
LAV869224,?,T4,low,M,104499,long,1
LAV883565,?,T4,low,F,24515,short,1
LAV886318,1919,T4,low,F,81005,medium,1
LAV886345,1920,T4,low,M,59502,medium,1
LAV949290,?,T4,low,M,23985,short,1
LAV956072,?,T4,low,F,20391,short,1
LAV956089,?,T4,low,M,39355,short,1
LAV956093,?,T4,low,M,39355,short,1
